id;created;appointement_date;start_date;end_date;title;description;status;status_change_date;commentary;manager_id;advisor_id
1;2021-08-26T17:44:14;2021-08-27;2021-08-26T22:27:49;2021-08-27T13:13:54;tangible;USB Kids;APPROVED;2021-08-26T22:34:03;Monsieur-le-Prince c;1;1
2;2021-08-27T01:08:08;2021-08-26;2021-08-26T19:55:14;2021-08-27T09:11:17;invoice c Speci;Russie cross-media;REPORTED;2021-08-27T05:54:04;transmitting Centre;2;2
3;2021-08-26T20:31:09;2021-08-26;2021-08-27T05:26:52;2021-08-27T08:42:45;web-readiness B;Car;REPORTED;2021-08-27T07:48:03;Shoes Unbranded redundant;1;1
4;2021-08-26T19:07:50;2021-08-27;2021-08-27T10:14:41;2021-08-27T10:36:06;Buckinghamshire;b;REPORTED;2021-08-26T17:59:50;bandwidth Limousin;2;2
5;2021-08-27T06:12:40;2021-08-27;2021-08-27T06:33:11;2021-08-27T06:49:46;Loan;compelling transmit Unbranded;REJECTED;2021-08-27T11:54:00;Avon matrices;2;2
6;2021-08-27T05:25:56;2021-08-26;2021-08-26T21:10:15;2021-08-27T13:13:15;port Saint-Séve;Corse Tasty multi-byte;REPORTED;2021-08-27T02:52:30;architectures;1;2
7;2021-08-27T13:08:07;2021-08-27;2021-08-27T10:55:23;2021-08-26T14:08:34;complexity Baby;Bedfordshire;REPORTED;2021-08-27T09:08:10;Developpeur;2;2
8;2021-08-27T00:25:18;2021-08-27;2021-08-27T02:19:00;2021-08-26T15:26:56;Victoire Domini;invoice des;APPROVED;2021-08-27T11:48:36;Realigned;2;2
9;2021-08-26T21:20:59;2021-08-27;2021-08-27T11:00:18;2021-08-27T08:19:51;blue Shirt Lice;PNG d'Azur;CANCELLED;2021-08-27T11:11:17;Developpeur XML emulation;2;1
10;2021-08-26T14:31:36;2021-08-27;2021-08-27T10:19:38;2021-08-27T11:18:56;maroon;collaboration;REPORTED;2021-08-26T21:41:15;neural violet Charlemagne;1;2
